player,cricinfo_id,team,season,competition,total_impact,total_impact_per_ball,total_bat_impact,bat_impact_per_ball,total_bowl_impact,bowl_impact_per_ball,runs_for,balls_faced,boundaries,dots_against,sixes,non_boundary_balls_faced,non_boundary_runs_gained,wickets_lost,wickets_taken,runs_against,balls_bowled,boundaries_against,dots_bowled,bowl_economy,bowl_average,strike_rate,average,balls_total,boundary_perc_against,boundary_percentage,six_percentage,dots_bowled_percentage,dots_batted_percentage,non_boundary_strike_rate,team_abbr,logo_url,primary_color,comp_logo,headshot_image_url,headshot_primary_image_url,headshot_secondary_image_url
Abigail Freeborn,914651,Birmingham Phoenix (Women),2023,The Hundred Women's Competition,-5.442,-0.133,-5.442,-0.133,0,0,43,41,4,17,0,39,27,4,NA,NA,0,NA,NA,NA,NA,1.049,10.75,41,NA,0.098,0,NA,0.415,0.692,BP-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317118.png,#FF8400, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abigail Freeborn,914651,Trent Rockets (Women),2022,The Hundred Women's Competition,-3.693,-0.068,-3.693,-0.068,0,0,60,54,9,21,0,46,24,3,NA,NA,0,NA,NA,NA,NA,1.111,20,54,NA,0.167,0,NA,0.389,0.522,TR-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317108.png,#e9e10c, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Abtaha Maqsood,934494,Birmingham Phoenix (Women),2022,The Hundred Women's Competition,-5.664,-0.121,-3.412,-1.706,-2.252,-0.05,0,2,0,2,0,2,0,1,2,61,45,7,9,1.356,30.5,0,0,47,0.156,0,0,0.2,1,0,BP-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317118.png,#FF8400, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/227600/227675.1.jpg
Abtaha Maqsood,934494,Birmingham Phoenix (Women),2023,The Hundred Women's Competition,-4.622,-0.924,0,0,-4.622,-0.924,NA,0,NA,NA,NA,NA,NA,NA,0,10,5,2,1,2,Inf,NA,NA,5,0.4,NA,NA,0.2,NA,NA,BP-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317118.png,#FF8400, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/326500/326516.png,https://www.espncricinfo.com/db/PICTURES/CMS/227600/227675.1.jpg
Alana King,944393,Trent Rockets (Women),2022,The Hundred Women's Competition,23.486,0.148,-7.408,-0.285,30.894,0.232,27,26,2,10,2,25,15,5,7,118,133,12,62,0.887,16.857,1.038,5.4,159,0.09,0.077,0.077,0.466,0.385,0.6,TR-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317108.png,#e9e10c, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alana King,944393,Trent Rockets (Women),2023,The Hundred Women's Competition,1.496,0.01,0.805,0.058,0.691,0.005,19,14,2,4,1,12,9,1,7,166,136,19,53,1.221,23.714,1.357,19,150,0.14,0.143,0.071,0.39,0.286,0.75,TR-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317108.png,#e9e10c, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/337100/337190.png,https://www.espncricinfo.com/db/PICTURES/CMS/334800/334893.4.jpg
Alex Griffiths,564771,Welsh Fire (Women),2023,The Hundred Women's Competition,2.652,0.021,0.468,0.039,2.184,0.02,12,12,1,5,0,11,8,1,6,141,112,15,34,1.259,23.5,1,12,124,0.134,0.083,0,0.304,0.417,0.727,WF-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317110.jpg,#f60404, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png,https://cricketgoldcoast.com.au/wp-content/uploads/2019/08/generic-headshot.png
Alex Hartley,469886,Welsh Fire (Women),2022,The Hundred Women's Competition,16.172,0.127,-0.564,-0.113,16.736,0.137,3,5,0,1,0,5,3,NA,4,131,122,13,44,1.074,32.75,0.6,NA,127,0.107,0,0,0.361,0.2,0.6,WF-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317110.jpg,#f60404, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323184.png,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323184.png,https://www.espncricinfo.com/db/PICTURES/CMS/305100/305126.png
Alex Hartley,469886,Welsh Fire (Women),2023,The Hundred Women's Competition,-10.9,-0.179,0,0,-10.9,-0.179,NA,0,NA,NA,NA,NA,NA,NA,3,94,61,13,12,1.541,31.333,NA,NA,61,0.213,NA,NA,0.197,NA,NA,WF-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317110.jpg,#f60404, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323184.png,https://www.espncricinfo.com/db/PICTURES/CMS/323100/323184.png,https://www.espncricinfo.com/db/PICTURES/CMS/305100/305126.png
Alexa Stonehouse,1267948,Trent Rockets (Women),2023,The Hundred Women's Competition,-21.216,-0.153,4.569,0.653,-25.785,-0.195,16,7,3,1,0,4,4,NA,4,174,132,23,49,1.318,43.5,2.286,NA,139,0.174,0.429,0,0.371,0.143,1,TR-W,https://www.espncricinfo.com/db/PICTURES/CMS/317100/317108.png,#e9e10c, https://upload.wikimedia.org/wikipedia/en/d/d8/The_Hundred_%28cricket%29_svg_logo.svg,https://www.espncricinfo.com/db/PICTURES/CMS/363000/363059.png,https://www.espncricinfo.com/db/PICTURES/CMS/363000/363059.png,https://www.espncricinfo.com/db/PICTURES/CMS/350300/350373.4.jpg
